quinto,クイント,KU I N TO
﻿archiver,アーカイバ,A - KA I BA
﻿archive,アーカイブ,A - KA I BU
﻿architecture,アーキテクチャ,A - KI TE KU TI ya
﻿argument,アーギュメント,A - GI yu ME N TO
﻿arc,アーク,A - KU
﻿arcade,アーケード,A - KE - DO
﻿ergonomics,アーゴノミックス,A - GO NO MI tsu KU SU
﻿earth,アース,A - SU
﻿earth color,アースカラー,A - SU KA RA -
﻿arch,アーチ,A - TI
﻿artist,アーティスト,A - TE i SU TO
﻿arch dam,アーチダム,A - TI DA MU
﻿artifact,アーチファクト,A - TI HU a KU TO
﻿art,アート,A - TO
﻿urbanity,アーバニティー,A - BA NI TE i -
﻿urban,アーバン,A - BA N
﻿urban sprawl,アーバンスプロール,A - BA N SU PU RO - RU
﻿urban life,アーバンライフ,A - BA N RA I HU
﻿arbiter,アービタ,A - BI TA
﻿army,アーミー,A - MI -
﻿arm,アーム,A - MU
﻿armchair,アームチェア,A - MU TI e A
﻿amen,アーメン,A - ME N
﻿art deco,アールデコ,A - RU DE KO
﻿art nouveau,アールヌーボー,A - RU NU - BO -
﻿iron,アイアン,A I A N
﻿iron club,アイアンクラブ,A I A N KU RA BU
﻿iconify,アイコニファイ,A I KO NI HU a I
﻿icon,アイコン,A I KO N
﻿eyeshade,アイシェード,A I SI e - DO
﻿eyeshadow,アイシャドウ,A I SI ya DO U
﻿icing,アイシング,A I SI N GU
﻿icing the puck,アイシングザパック,A I SI N GU ZA PA tsu KU
﻿ice,アイス,A I SU
﻿ice cream,アイスクリーム,A I SU KU RI - MU
﻿iced tea,アイスティ,A I SU TE i
﻿ice tongs,アイストング,A I SU TO N GU
﻿ice piton,アイスハーケン,A I SU HA - KE N
﻿ice pick,アイスピック,A I SU PI tsu KU
﻿ice pail,アイスペール,A I SU PE - RU
﻿ice hockey,アイスホッケー,A I SU HO tsu KE -
﻿icebox,アイスボックス,A I SU BO tsu KU SU
﻿isotype,アイソタイプ,A I SO TA I PU
﻿isotope,アイソトープ,A I SO TO - PU
﻿isotonic,アイソトニック,A I SO TO NI tsu KU
﻿isometric,アイソメトリック,A I SO ME TO RI tsu KU
﻿isometrics,アイソメトリックス,A I SO ME TO RI tsu KU SU
﻿isolation,アイソレーション,A I SO RE - SI yo N
﻿isolator,アイソレータ,A I SO RE - TA
﻿item,アイテム,A I TE MU
﻿idea,アイデア,A I DE A
﻿idea man,アイディアマン,A I DE i A MA N
﻿idealism,アイディアリズム,A I DE i A RI ZU MU
﻿ideal,アイディアル,A I DE i A RU
﻿idealist,アイディリスト,A I DE i RI SU TO
﻿identity,アイデンティティ,A I DE N TE i TE i
﻿identity card,アイデンティティーカード,A I DE N TE i TE i - KA - DO
﻿identify,アイデンティファイ,A I DE N TE i HU a I
﻿identification,アイデンティフィケーション,A I DE N TE i HU i KE - SI yo N
﻿identification card,アイデンティフィケーションカード,A I DE N TE i HU i KE - SI yo N KA - DO
﻿idol,アイドル,A I DO RU
﻿idle capital,アイドルキャピタル,A I DO RU KI ya PI TA RU
﻿idle cost,アイドルコスト,A I DO RU KO SU TO
﻿idle system,アイドルシステム,A I DO RU SI SU TE MU
﻿idle time,アイドルタイム,A I DO RU TA I MU
﻿Ainu,アイヌ,A I NU
﻿ivy style,アイビースタイル,A I BI - SU TA I RU
﻿Ivy League,アイビーリーグ,A I BI - RI - GU
﻿ivy look,アイビールック,A I BI - RU tsu KU
﻿eyebrow,アイブロー,A I BU RO -
﻿eyebrow shape,アイブローシェープ,A I BU RO - SI e - PU
﻿eyebrow pencil,アイブローペンシル,A I BU RO - PE N SI RU
﻿ivory,アイボリー,A I BO RI -
﻿eyeline,アイライン,A I RA I N
﻿eyelash curler,アイラッシュカーラー,A I RA tsu SI yu KA - RA -
﻿iris,アイリス,A I RI SU
﻿irony,アイロニー,A I RO NI -
﻿outer,アウター,A U TA -
﻿outerwear,アウターウエア,A U TA - U E A
﻿outer space,アウタースペース,A U TA - SU PE - SU
﻿autarchy,アウタルキー,A U TA RU KI -
﻿out,アウト,A U TO
﻿out wear,アウトウエア,A U TO U E A
﻿out of fashion,アウトオブファッション,A U TO O BU HU a tsu SI yo N
﻿out count,アウトカウント,A U TO KA U N TO
﻿outsider,アウトサイダー,A U TO SA I DA -
﻿outstanding,アウトスタンディング,A U TO SU TA N DE i N GU
﻿outdoor,アウトドア,A U TO DO A
﻿outdoor life,アウトドアライフ,A U TO DO A RA I HU
﻿outdoor game,アウトドアゲーム,A U TO DO A GE - MU
﻿outdoor shop,アウトドアショップ,A U TO DO A SI yo tsu PU
﻿outdoor sports,アウトドアスポーツ,A U TO DO A SU PO - TU
﻿outdrive,アウトドライブ,A U TO DO RA I BU
﻿highway,アウトバーン,A U TO BA - N
﻿outback,アウトバック,A U TO BA tsu KU
﻿output,アウトプット,A U TO PU tsu TO
﻿out boxing,アウトボクシング,A U TO BO KU SI N GU
﻿outpocket,アウトポケット,A U TO PO KE tsu TO
﻿outline,アウトライン,A U TO RA I N
﻿outlaw,アウトロー,A U TO RO -
﻿lift,アウフヘーベン,A U HU HE - BE N
﻿aura,アウラ,A U RA
﻿acacia,アカシア,A KA SI A
﻿academic,アカデミック,A KA DE MI tsu KU
﻿acoustic,アコースティック,A KO - SU TE i tsu KU
﻿aquatron,アクアトロン,A KU A TO RO N
﻿aquanaut,アクアノート,A KU A NO - TO
﻿aquamarine,アクアマリン,A KU A MA RI N
﻿action,アクション,A KU SI yo N
﻿action bar,アクションバー,A KU SI yo N BA -
﻿accessory,アクセサリー,A KU SE SA RI -
﻿access,アクセス,A KU SE SU
﻿access time,アクセスタイム,A KU SE SU TA I MU
﻿accessing,アクセッシング,A KU SE tsu SI N GU
﻿acceptance,アクセプタンス,A KU SE PU TA N SU
﻿accept,アクセプト,A KU SE PU TO
﻿accent,アクセント,A KU SE N TO
﻿actor,アクター,A KU TA -
﻿active defense,アクチブディフェンス,A KU TI BU DE i HU e N SU
﻿actual,アクチュアル,A KU TI yu A RU
﻿activity,アクティビティ,A KU TE i BI TE i
﻿active,アクティブ,A KU TE i BU
﻿active sportswear,アクティブスポーツウエア,A KU TE i BU SU PO - TU U E A
﻿active solar house,アクティブソーラーハウス,A KU TE i BU SO - RA - HA U SU
﻿active homing,アクティブホーミング,A KU TE i BU HO - MI N GU
﻿activation,アクティベーション,A KU TE i BE - SI yo N
﻿actress,アクトレス,A KU TO RE SU
﻿acrobat,アクロバット,A KU RO BA tsu TO
﻿agreement,アグリーメント,A GU RI - ME N TO
﻿agriculture,アグリカルチャー,A GU RI KA RU TI ya -
﻿aggressive,アグレッシブ,A GU RE tsu SI BU
﻿against,アゲンスト,A GE N SU TO
﻿against wind,アゲンストウインド,A GE N SU TO U I N DO
﻿acoustic sound,アコースティックサウンド,A KO - SU TE i tsu KU SA U N DO
﻿accordion,アコーディオン,A KO - DE i O N
﻿accord,アコード,A KO - DO
﻿accommodator,アコモデーター,A KO MO DE - TA -
﻿agoraphobia,アゴラフォビア,A GO RA HU o BI A
﻿assert,アサート,A SA - TO
﻿aside,アサイド,A SA I DO
﻿assign,アサイン,A SA I N
﻿asymmetric design,アシメトリックデザイン,A SI ME TO RI tsu KU DE ZA I N
﻿asymmetry,アシンメトリー,A SI N ME TO RI -
﻿asymmetric design,アシンメトリックデザイン,A SI N ME TO RI tsu KU DE ZA I N
﻿Asia dollar,アジアダラー,A ZI A DA RA -
﻿adjust,アジャスト,A ZI ya SU TO
﻿Ascot tie,アスコットタイ,A SU KO tsu TO TA I
﻿asterisk,アスタリスク,A SU TA RI SU KU
﻿Aztec,アステック,A SU TE tsu KU
﻿Astrodome,アストロドーム,A SU TO RO DO - MU
﻿astronaut,アストロノート,A SU TO RO NO - TO
﻿aspartame,アスパルテーム,A SU PA RU TE - MU
﻿Aspite,アスピーテ,A SU PI - TE
﻿aspic,アスピック,A SU PI tsu KU
﻿aspirin,アスピリン,A SU PI RI N
﻿aspirin snow,アスピリンスノー,A SU PI RI N SU NO -
﻿asphalt,アスファルト,A SU HU a RU TO
﻿asphalt jungle,アスファルトジャングル,A SU HU a RU TO ZI ya N GU RU
﻿aspect,アスペクト,A SU PE KU TO
﻿aspect ratio,アスペクトレーショ,A SU PE KU TO RE - SI yo
﻿acetate,アセテート,A SE TE - TO
﻿acetone,アセトン,A SE TO N
﻿assembly,アセンブリ,A SE N BU RI
﻿assemble,アセンブル,A SE N BU RU
﻿attacker,アタッカー,A TA tsu KA -
﻿attack,アタック,A TA tsu KU
﻿attach,アタッチ,A TA tsu TI
﻿attachment,アタッチメント,A TA tsu TI ME N TO
﻿adagio,アダージョ,A DA - ZI yo
﻿adapter,アダプター,A DA PU TA -
﻿adaptive,アダプティヴ,A DA PU TE i VU
﻿adult,アダルト,A DA RU TO
﻿adult education,アダルトエデュケーション,A DA RU TO E DE yu KE - SI yo N
﻿achieve,アチーブ,A TI - BU
﻿at,アット,A tsu TO
﻿at bat,アットバット,A tsu TO BA tsu TO
﻿at home,アットホーム,A tsu TO HO - MU
﻿upper,アッパー,A tsu PA -
﻿uppercut,アッパーカット,A tsu PA - KA tsu TO
﻿up,アップ,A tsu PU
﻿up style,アップスタイル,A tsu PU SU TA I RU
﻿up down,アップダウン,A tsu PU DA U N
﻿update,アップデート,A tsu PU DE - TO
﻿upright,アップライト,A tsu PU RA I TO
﻿upright piano,アップライトピアノ,A tsu PU RA I TO PI A NO
﻿applique,アップリケ,A tsu PU RI KE
﻿apple,アップル,A tsu PU RU
﻿upload,アップロード,A tsu PU RO - DO
﻿attest,アテスト,A TE SU TO
﻿attention,アテンション,A TE N SI yo N
﻿adenoid,アデノイド,A DE NO I DO
﻿Adenovirus,アデノウイルス,A DE NO U I RU SU
﻿atomic,アトミック,A TO MI tsu KU
﻿atom,アトム,A TO MU
﻿atmosphere,アトモスフィア,A TO MO SU HU i A
﻿attraction,アトラクション,A TO RA KU SI yo N
﻿attractor,アトラクター,A TO RA KU TA -
﻿attractive,アトラクティブ,A TO RA KU TE i BU
﻿at random,アトランダム,A TO RA N DA MU
﻿atrium,アトリウム,A TO RI U MU
﻿attribute,アトリビュート,A TO RI BI yu - TO
﻿autoload,アトロード,A TO RO - DO
﻿ad,アド,A DO
﻿adobe,アドービ,A DO - BI
﻿ad impact,アドインパクト,A DO I N PA KU TO
﻿ad campaign,アドキャンペーン,A DO KI ya N PE - N
﻿adviser,アドバイザー,A DO BA I ZA -
﻿advice,アドバイス,A DO BA I SU
﻿advertising,アドバタイジング,A DO BA TA I ZI N GU
﻿advantage,アドバンテージ,A DO BA N TE - ZI
﻿advantage rule,アドバンテージルール,A DO BA N TE - ZI RU - RU
﻿adventure,アドベンチャー,A DO BE N TI ya -
﻿ad hoc,アドホック,A DO HO tsu KU
﻿ad man,アドマン,A DO MA N
﻿admission,アドミッション,A DO MI tsu SI yo N
﻿admin,アドミン,A DO MI N
﻿ad lib,アドリブ,A DO RI BU
﻿address,アドレス,A DO RE SU
﻿addressing,アドレッシング,A DO RE tsu SI N GU
﻿anarchy,アナーキー,A NA - KI -
﻿anarchist,アナーキスト,A NA - KI SU TO
﻿anachronism,アナクロニズム,A NA KU RO NI ZU MU
﻿anagram,アナグラム,A NA GU RA MU
﻿analyzer,アナライザ,A NA RA I ZA
﻿annealing,アニーリング,A NI - RI N GU
﻿anniversary,アニバーサリー,A NI BA - SA RI -
﻿anima,アニマ,A NI MA
﻿animal,アニマル,A NI MA RU
﻿animation,アニメーション,A NI ME - SI yo N
﻿animator,アニメーター,A NI ME - TA -
﻿anus,アヌス,A NU SU
﻿anecdote,アネクドート,A NE KU DO - TO
﻿Anoekumene,アネクメーネ,A NE KU ME - NE
﻿anode,アノード,A NO - DO
﻿anorak,アノラック,A NO RA tsu KU
﻿anorexia,アノレクシア,A NO RE KU SI A
﻿about,アバウト,A BA U TO
﻿aperture,アパーチャ,A PA - TI ya
﻿apathy,アパシー,A PA SI -
﻿appetite,アパタイト,A PA TA I TO
﻿apache,アパッシュ,A PA tsu SI yu
﻿Apache,アパッチ,A PA tsu TI
﻿apartheid,アパルトヘイト,A PA RU TO HE I TO
﻿appeal,アピール,A PI - RU
﻿affair,アフェア,A HU e A
﻿aphorism,アフォルズム,A HU o RU ZU MU
﻿after,アフター,A HU TA -
﻿afternoon,アフタヌーン,A HU TA NU - N
﻿afternoon shadow,アフタヌーンシャドー,A HU TA NU - N SI ya DO -
﻿afternoon dress,アフタヌーンドレス,A HU TA NU - N DO RE SU
﻿Afrikaans,アフリカーンス,A HU RI KA - N SU
﻿Afro,アフロ,A HU RO
﻿abstraction,アブストラクション,A BU SU TO RA KU SI yo N
﻿absolutism,アブソリューティズム,A BU SO RI yu - TE i ZU MU
﻿apply,アプライ,A PU RA I
﻿a priori,アプリオリ,A PU RI O RI
﻿application,アプリケーション,A PU RI KE - SI yo N
﻿apricot,アプリコット,A PU RI KO tsu TO
﻿approach,アプローチ,A PU RO - TI
﻿approach shot,アプローチショット,A PU RO - TI SI yo tsu TO
﻿approach light,アプローチライト,A PU RO - TI RA I TO
﻿ahead,アヘッド,A HE tsu DO
﻿average,アベレージ,A BE RE - ZI
﻿average golfer,アベレージゴルファー,A BE RE - ZI GO RU HU a -
﻿appetizer,アペタイザー,A PE TA I ZA -
﻿aperitif,アペリティフ,A PE RI TE i HU
﻿abort,アボート,A BO - TO
﻿Apochromat,アポクロマート,A PO KU RO MA - TO
﻿apostrophe,アポストロフィ,A PO SU TO RO HU i
﻿amateur,アマチュア,A MA TI yu A
﻿amateurism,アマチュアリズム,A MA TI yu A RI ZU MU
﻿amalgam,アマルガム,A MA RU GA MU
﻿amusement,アミューズメント,A MI yu - ZU ME N TO
﻿amusement center,アミューズメントセンター,A MI yu - ZU ME N TO SE N TA -
﻿amylase,アミラーゼ,A MI RA - ZE
﻿love,アムール,A MU - RU
﻿Amtrak,アムトラック,A MU TO RA tsu KU
﻿amnesty,アムネスティ,A MU NE SU TE i
﻿amoeba,アメーバ,A ME - BA
﻿Ameslan,アメスラン,A ME SU RA N
﻿amenity,アメニティー,A ME NI TE i -
﻿amorphous,アモルファス,A MO RU HU a SU
﻿Allah,アラー,A RA -
﻿alliance,アライアンス,A RA I A N SU
﻿alignment,アラインメント,A RA I N ME N TO
﻿Arabian light,アラビアンライト,A RA BI A N RA I TO
﻿Arab,アラブ,A RA BU
﻿arabesque,アラベスク,A RA BE SU KU
﻿arena,アリーナ,A RI - NA
﻿aria,アリア,A RI A
﻿aristocracy,アリストクラシー,A RI SU TO KU RA SI -
﻿aristocrat,アリストクラット,A RI SU TO KU RA tsu TO
﻿archaic,アルカイック,A RU KA I tsu KU
﻿arcadia,アルカディア,A RU KA DE i A
﻿alkalosis,アルカローシス,A RU KA RO - SI SU
﻿alkaloid,アルカロイド,A RU KA RO I DO
﻿alcove,アルコーブ,A RU KO - BU
﻿alto,アルト,A RU TO
﻿albatross,アルバトロス,A RU BA TO RO SU
﻿album,アルバム,A RU BA MU
﻿alpine,アルパイン,A RU PA I N
﻿alpaca,アルパカ,A RU PA KA
